id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwr.IPm2;upr.IPm2;R2adj;NBobs_maille;NBobs_commune
2362;1001;L'Abergement-Cl�menciat;1;84;200069193;maille;9,372335348;7,409663525;11,85487972;0,774249278;701;2
2010;1002;L'Abergement-de-Varey;1;84;240100883;maille;8,63555202;6,72107751;11,09535764;0,719598662;861;0
1456;1004;Amb�rieu-en-Bugey;1;84;240100883;commune;10,07450708;7,865307059;12,90422511;0,670160882;2156;2156
2362;1005;Amb�rieux-en-Dombes;1;84;200042497;maille;9,372335348;7,409663525;11,85487972;0,774249278;701;81
2055;1006;Ambl�on;1;84;200040350;maille;8,96695486;7,101593346;11,3222872;0,752823051;842;3
2010;1007;Ambronay;1;84;240100883;commune;9,039235908;7,020316189;11,6387615;0,719598662;861;104
2010;1008;Ambutrix;1;84;240100883;maille;8,63555202;6,72107751;11,09535764;0,719598662;861;12
2329;1009;Andert-et-Condon;1;84;200040350;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;5
1920;1016;Arbigny;1;84;200071371;epci;8,609190063;6,502321926;11,39872101;0,660390564;1106;0
2329;1019;Armix;1;84;200040350;maille;8,899090638;6,738875339;11,75178501;0,727020971;655;0
